3950	6770	1900	8610	7130	11350	8040	6970	6580	8400	6220	8830	8380	3920	1390
4140	6420	2690	9110	6180	13690	8180	5880	6470	12000	6260	10540	7530	3200	2210
7320	6890	3530	6430	6480	11820	11640	6100	5230	7380	6730	11490	6340	5170	1760
2690	5700	2710	9470	8440	9590	7530	5210	5670	11300	5670	9550	7490	4370	2580
5300	6760	2090	8420	6910	9850	7900	6020	4200	11490	5630	10560	5920	3120	2340
6120	5431.999	2100	6300	6300	8960.304	8844.507	6890	3900	6300	7180	10934.06	6460.949	3890.872	2020
5300	5367.321	2200	9400	5200	13100	7700	6260	3000	11800	5947.984	9400	6500	3844.544	4600
3530	4170	2400	10300	8000	8300	7300	5544.101	3400	11700	7100	9400	5500	3785.333	1600
5660	7190	2760	11820	6460	9830	10580	5458.569	5680	10530	5200	10820	7780	3700	2050
3960	5730	2360	7520	7100	10130	9090	5382.588	5990	8660	6700	7650	7140	4600	1410
4410	5530	1460	9800	7820	8530	6060	5700	4276.306	8870	5000	10050	6700	3800	1923.579
7220	7000	1610	9470	4670	10800	9700	6000	3150	9650	7000	9580	6800	4800	1150
1910	3280	2500	7590	4380	8700	6850	2900	4040	11680	6020	10340	4840	3270	2240
6880	7060	1790	8450	5840	8210	7180	5550	4870	11310	5720	9310	5810	2710	1410
1740	5620	2310	9130	6260	7990	7540	5820	5220	9280	5140	10870	6320	4030	1300
3420	6570	1780	7690	5900	7010	8490	4090	4650	8260	4410	7470	4210	2470	1690
